列1	列2	列3	列4	列5	列6	列7	列8
1	vivo X9（全网通）	前置2000万柔光双摄，超窄边框，金属流线机身	2798	2016年11月24日	3.9	5.5	vivo手机
2	华为nova（CAZ-AL10/高配版/	一指美拍，十级美颜，华为阅读	2139	2016年10月	3.8	5	华为手机
3	华为Mate 9（MHA-AL00/4G	华为超级闪充技术，双后摄设计，内置银行U盾，新文件系统F2FS	4069	2016年11月14日	4.3	5.9	华为手机
4	苹果iPhone 7 Plus（全网通）	后置双摄像头，多语言文字同时显示，4K视频摄录	6288	2016年9月16日	3.8	5.5	苹果手机
5	荣耀畅玩6X（BLN-AL10/4GB 	双镜头，智能防伪基站，学生模式	1359	2016年10月25日	3.6	5.5	荣耀手机
6	OPPO R9s（全网通）	IMX398，双核对焦，F1.7大光圈，前后1600万像素	2799	2016年10月	4.5	5.5	OPPO手机
7	苹果iPhone 7（全网通）	防水防尘，True Tone闪光灯，4K视频摄录	5188	2016年9月16日	3.3	4.7	苹果手机
8	中兴天机7（标配版/全网通）	双旗舰独立芯片，双扬声器，随手拍，语音小秘书	3049	2016年5月	4.2	5.5	中兴手机
9	Moto Z（XT1650-05/全网通	Moto Mods智能模块，极速涡轮快充，Moto语音	3699	2016年9月7日	4.2	5.5	Moto手机
10	荣耀8（FRD-AL00/3GB RAM	双镜头，双2.5D玻璃，双功能指纹	2199	2016年7月	4.1	5.2	荣耀手机
11	vivo X6S（全网通）	双天线设计，快速指纹，双引擎闪充	1998	2016年4月	3.8	5.2	vivo手机
12	三星GALAXY S7（G9300/全网	息屏提醒，防水功能，快速充电，Samsung Pay三星智付	3688	2016年2月	4.2	5.1	三星手机
13	华为Mate 9 Pro（4GB RAM	双曲屏，指纹识别，三摄像头，PDAF相位对焦	4699	2016年11月	4.6	5.5	华为手机
14	魅族PRO 6S（全网通）	悬浮压力触控，双卡双待软切换，索尼 IMX386 CMOS，mCharge 3.0快速充电	2699	2016年11月3日	3.9	5.2	魅族手机
15	荣耀Note8（EDI-AL10/全网通	2K大屏，多屏互动，快充长续航	2359	2016年8月	4.3	6.6	荣耀手机
16	荣耀畅玩6X（BLN-AL10/3GB 	双镜头，智能防伪基站，学生模式	1079	2016年10月25日	3.6	5.5	荣耀手机
17	一加手机3（全网通）	DASH极速闪充，极速美拍，0.2S指纹识别，EIS电子防抖	2499	2016年6月	4.3	5.5	一加手机
18	乐视乐Pro 3（6GB RAM/全网通	纤薄长续航，双扬声器，CDLA全程数字无损音频标准	2250	2016年9月	3.9	5.5	乐视手机
19	荣耀V8（KNT-AL20/高配版/全网	影院模式，护眼模式，伪基站识别，3D指纹	2800	2016年5月	4.3	5.7	荣耀手机
20	金立S9（全网通）	1300万柔光自拍，金属机身，指纹识别，全网通4G+	2499	2016年11月	4.4	5.5	金立手机
21	OPPO R9 Plus（全网通）	美颜4.0，大容量电池，VOOC快充	2999	2016年3月	4.4	6	OPPO手机
22	美图V4（双4G）	智能降噪，延时摄影，光线自适应	4599	2015年11月	3.8	5	美图手机
23	vivo X7 Plus（全网通）	双引擎闪充，过滤蓝光全局护眼，Moonlight柔光灯，分屏多任务2.0	2798	2016年7月23日	4.4	5.7	vivo手机
24	vivo Y55（全网通）	分屏多任务2.0，全局护眼，智能美颜	1298	2016年9月	3.6	5.2	vivo手机
